[2022-02-25 15:24:17,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:24:27,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:24:37,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:24:47,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:24:57,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:07,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:17,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:27,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:37,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:47,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:25:57,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:07,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:17,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:27,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:37,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:47,677: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:26:57,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:07,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:17,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:27,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:37,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:47,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:27:57,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:07,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:17,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:27,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:37,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:47,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:28:57,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:29:07,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:29:17,709: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
